#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       7.105756118640e+00       1.564329204911e-05      -1.214464038350e+00       2.121428083710e-04       3.445120302636e-08       8.612800756590e-08       7.870419038961e-14       1.722560151318e-08      -9.108480287626e-01       2.121428083710e-04       6.003326978388e-01       6.966357496768e-01      -1.214464038350e+00       2.120938355782e-04       2.014074114100e-04      -9.108480287627e-01       2.122403238443e-04      -2.480087962034e-13       5.786876208260e-17       5.858274604598e-13 
       7.105757410252e+00       1.564329493555e-05      -1.214464041034e+00       2.121428466962e-04       3.445122196150e-08       8.612805490374e-08       7.870426269153e-14       1.722561098075e-08      -9.108480307755e-01       2.121428466962e-04       6.003326978679e-01       6.966357490971e-01      -1.214464041034e+00       2.120938738764e-04       2.014074844535e-04      -9.108480307757e-01       2.122403622223e-04      -2.480087533019e-13       5.786879503921e-17       5.858276877747e-13 
       7.105758701864e+00       1.564329782198e-05      -1.214464043718e+00       2.121428850213e-04       3.445124089664e-08       8.612810224160e-08       7.870433499351e-14       1.722562044832e-08      -9.108480327884e-01       2.121428850213e-04       6.003326978971e-01       6.966357485175e-01      -1.214464043718e+00       2.120939121747e-04       2.014075574970e-04      -9.108480327887e-01       2.122404006002e-04      -2.480087104005e-13       5.786882799583e-17       5.858279150898e-13 
       7.105771617982e+00       1.564332668635e-05      -1.214464070557e+00       2.121432682728e-04       3.445143024849e-08       8.612857562122e-08       7.870505801626e-14       1.722571512424e-08      -9.108480529176e-01       2.121432682728e-04       6.003326981884e-01       6.966357427211e-01      -1.214464070556e+00       2.120942951572e-04       2.014082879329e-04      -9.108480529192e-01       2.122407843797e-04      -2.480082813899e-13       5.786915756272e-17       5.858301882431e-13 
       7.105784534099e+00       1.564335555072e-05      -1.214464097396e+00       2.121436515244e-04       3.445161960104e-08       8.612904900260e-08       7.870578104437e-14       1.722580980052e-08      -9.108480730470e-01       2.121436515244e-04       6.003326984796e-01       6.966357369247e-01      -1.214464097394e+00       2.120946781398e-04       2.014090183700e-04      -9.108480730499e-01       2.122411681593e-04      -2.480078523860e-13       5.786948713086e-17       5.858324614010e-13 
       7.105797450217e+00       1.564338441509e-05      -1.214464124235e+00       2.121440347760e-04       3.445180895429e-08       8.612952238573e-08       7.870650407782e-14       1.722590447715e-08      -9.108480931765e-01       2.121440347760e-04       6.003326987708e-01       6.966357311282e-01      -1.214464124232e+00       2.120950611224e-04       2.014097488085e-04      -9.108480931806e-01       2.122415519388e-04      -2.480074233888e-13       5.786981670027e-17       5.858347345634e-13 
       7.105810366335e+00       1.564341327946e-05      -1.214464151075e+00       2.121444180275e-04       3.445199830825e-08       8.612999577062e-08       7.870722711662e-14       1.722599915412e-08      -9.108481133060e-01       2.121444180275e-04       6.003326990619e-01       6.966357253317e-01      -1.214464151071e+00       2.120954441051e-04       2.014104792483e-04      -9.108481133114e-01       2.122419357184e-04      -2.480069943985e-13       5.787014627095e-17       5.858370077305e-13 
       7.105939527512e+00       1.564370192327e-05      -1.214464419469e+00       2.121482505427e-04       3.445389188624e-08       8.613472971560e-08       7.871445779840e-14       1.722694594312e-08      -9.108483146015e-01       2.121482505427e-04       6.003327019737e-01       6.966356673669e-01      -1.214464419457e+00       2.120992739305e-04       2.014177837186e-04      -9.108483146195e-01       2.122457735135e-04      -2.480027048655e-13       5.787344204751e-17       5.858597396541e-13 
       7.106068688688e+00       1.564399056723e-05      -1.214464687864e+00       2.121520830571e-04       3.445578553416e-08       8.613946383541e-08       7.872168901440e-14       1.722789276708e-08      -9.108485158982e-01       2.121520830571e-04       6.003327048851e-01       6.966356094019e-01      -1.214464687844e+00       2.121031037551e-04       2.014250883208e-04      -9.108485159288e-01       2.122496113080e-04      -2.479984160070e-13       5.787673795094e-17       5.858824720381e-13 
       7.106197849865e+00       1.564427921135e-05      -1.214464956261e+00       2.121559155706e-04       3.445767925201e-08       8.614419813003e-08       7.872892076464e-14       1.722883962601e-08      -9.108487171959e-01       2.121559155707e-04       6.003327077964e-01       6.966355514367e-01      -1.214464956232e+00       2.121069335788e-04       2.014323930547e-04      -9.108487172391e-01       2.122534491018e-04      -2.479941278228e-13       5.788003398123e-17       5.859052048825e-13 
       7.106327011042e+00       1.564456785563e-05      -1.214465224659e+00       2.121597480833e-04       3.445957303979e-08       8.614893259946e-08       7.873615304916e-14       1.722978651989e-08      -9.108489184946e-01       2.121597480834e-04       6.003327107073e-01       6.966354934713e-01      -1.214465224622e+00       2.121107634015e-04       2.014396979205e-04      -9.108489185504e-01       2.122572868950e-04      -2.479898403128e-13       5.788333013841e-17       5.859279381871e-13 
       7.107314603511e+00       1.564677489328e-05      -1.214467276932e+00       2.121890522229e-04       3.447405563554e-08       8.618513908886e-08       7.879147022230e-14       1.723702781777e-08      -9.108504576986e-01       2.121890522231e-04       6.003327329578e-01       6.966350502505e-01      -1.214467276830e+00       2.121400469697e-04       2.014955567587e-04      -9.108504578508e-01       2.122866314167e-04      -2.479570794264e-13       5.790853741681e-17       5.861017768493e-13 
       7.108302195981e+00       1.564898194006e-05      -1.214469329284e+00       2.122183563143e-04       3.448854232024e-08       8.622135580059e-08       7.884681864651e-14       1.724427116012e-08      -9.108519969629e-01       2.122183563146e-04       6.003327551943e-01       6.966346070194e-01      -1.214469329117e+00       2.121693304838e-04       2.015514233039e-04      -9.108519972115e-01       2.123159759012e-04      -2.479243579333e-13       5.793375211420e-17       5.862756424274e-13 
       7.109289788450e+00       1.565118899597e-05      -1.214471381717e+00       2.122476603574e-04       3.450303309446e-08       8.625758273614e-08       7.890219833519e-14       1.725151654723e-08      -9.108535362875e-01       2.122476603579e-04       6.003327774169e-01       6.966341637778e-01      -1.214471381486e+00       2.121986139439e-04       2.016072975561e-04      -9.108535366324e-01       2.123453203485e-04      -2.478916758097e-13       5.795897423168e-17       5.864495349216e-13 
       7.110277380919e+00       1.565339606102e-05      -1.214473434229e+00       2.122769643522e-04       3.451752795879e-08       8.629381989698e-08       7.895760930167e-14       1.725876397940e-08      -9.108550756721e-01       2.122769643528e-04       6.003327996257e-01       6.966337205258e-01      -1.214473433934e+00       2.122278973500e-04       2.016631795152e-04      -9.108550761135e-01       2.123746647586e-04      -2.478590330312e-13       5.798420377036e-17       5.866234543319e-13 
       7.112310202008e+00       1.565793902473e-05      -1.214477659295e+00       2.123372823792e-04       3.454737648816e-08       8.636844122041e-08       7.907176354029e-14       1.727368824408e-08      -9.108582444713e-01       2.123372823801e-04       6.003328452952e-01       6.966328081202e-01      -1.214477658866e+00       2.122881729795e-04       2.017782289775e-04      -9.108582451114e-01       2.124350660096e-04      -2.477919661743e-13       5.803615861377e-17       5.869815278557e-13 
       7.114343023098e+00       1.566248202712e-05      -1.214481884705e+00       2.123976002025e-04       3.457724235458e-08       8.644310588645e-08       7.918605047207e-14       1.728862117729e-08      -9.108614135284e-01       2.123976002037e-04       6.003328909049e-01       6.966318956695e-01      -1.214481884143e+00       2.123484483808e-04       2.018933110928e-04      -9.108614143674e-01       2.124954671038e-04      -2.477250657031e-13       5.808814491416e-17       5.873397154217e-13 
